year,km_driven,fuel,seller_type,transmission,owner,seats,mileage,engine_size,brake_horsepower,SalePrice
2016,70000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,3500
1998,70000,Petrol,Individual,Manual,First Owner,5,14,796,35,800
2017,110000,Diesel,Individual,Manual,First Owner,7,15.4,2523,75,8500
2007,93000,Petrol,Individual,Manual,Third Owner,5,18,995,62,900
2014,110000,Diesel,Individual,Manual,First Owner,10,13.58,2499,72.4,6000
2007,57000,Petrol,Individual,Manual,First Owner,5,19.7,796,46.3,1350
2005,120000,Petrol,Individual,Manual,First Owner,5,13.2,1495,94,1500
2012,35000,Diesel,Individual,Manual,First Owner,5,23.03,1396,69,2590
2012,90000,Diesel,Individual,Manual,First Owner,5,23.03,1396,69,2200
2012,35000,Diesel,Individual,Manual,Second Owner,5,23.03,1396,69,2460
2009,120000,Petrol,Individual,Manual,First Owner,5,17.5,1298,85.8,2400
2018,60000,Diesel,Individual,Manual,First Owner,5,22.1,1396,88.7,9460
2011,70000,Diesel,Individual,Manual,First Owner,5,23.03,1396,69,2150
1999,60000,Petrol,Individual,Manual,Fourth & Above Owner,5,17.3,993,60,500
2013,100000,Diesel,Individual,Manual,First Owner,5,25.8,1498,98.6,3100
2008,35000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,2200
2008,90000,Diesel,Individual,Manual,Third Owner,5,17.8,1248,75,1950
2015,50000,Petrol,Individual,Manual,First Owner,5,17.19,1197,81.86,6500
2011,98000,Petrol,Individual,Manual,First Owner,5,18.5,1197,80,3500
2013,30000,Petrol,Individual,Manual,First Owner,5,18.5,1197,82.85,3600
2013,50000,Petrol,Individual,Manual,Second Owner,5,16.3,1797,147.5,5500
2016,26000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4900
2011,46000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,1950
2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,5,19.7,796,46.3,1250
2019,10000,Petrol,Individual,Manual,First Owner,5,23.84,1199,84,4599.99
2015,16700,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,2750
2018,70000,Diesel,Individual,Manual,First Owner,5,28.4,1248,74.02,6800
2015,7967,Petrol,Individual,Manual,First Owner,5,20.85,1197,83.14,6000
2018,20000,Petrol,Individual,Manual,First Owner,5,22,1197,81.8,7200
2016,9656,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,3560
2011,50000,Petrol,Individual,Manual,First Owner,5,19.81,1086,68.05,2250
2019,17000,Diesel,Individual,Manual,First Owner,5,24.4,1498,98.63,7250
2010,50000,Petrol,Individual,Manual,First Owner,5,18,995,62,1300
2015,10000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,3000
2013,43000,Petrol,Individual,Manual,Second Owner,5,18.5,1197,82.85,4000
2013,50000,Diesel,Individual,Manual,First Owner,5,23.5,1396,88.7,5500
2006,90000,Petrol,Individual,Manual,Second Owner,5,18.9,998,67,1200
2012,100000,Diesel,Individual,Manual,Second Owner,8,14,2498,112,4099.99
2012,120000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,4500
2019,5000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,6100
2016,68609,Diesel,Dealer,Manual,First Owner,5,22.7,1498,89.84,5150
2018,33360,Diesel,Dealer,Manual,First Owner,5,22.77,1498,98.59,9250
2019,14317,Petrol,Dealer,Manual,First Owner,5,14.23,1498,104.55,8600
2012,87237,Diesel,Dealer,Manual,Second Owner,5,20,1399,68.05,2250
2017,62960,Diesel,Dealer,Manual,First Owner,5,25.83,1498,99,5000
2017,26634,Petrol,Dealer,Automatic,First Owner,5,21.21,1197,81.8,6000
2012,163720,Diesel,Dealer,Manual,First Owner,5,18.5,1399,68,1950
2012,67998,Petrol,Dealer,Manual,First Owner,5,18.9,998,67.1,2650
2018,20706,Diesel,Dealer,Manual,First Owner,5,23.8,1499,98.63,6500
2015,100581,Diesel,Dealer,Manual,First Owner,5,25.83,1498,99,4150
2015,67303,Diesel,Dealer,Manual,First Owner,5,20.45,1461,83.8,6000
2013,79139,Petrol,Dealer,Manual,First Owner,5,18.5,1197,85.8,3400
2014,84784,Diesel,Dealer,Manual,First Owner,5,24,1120,70,3500
2012,130376,Diesel,Dealer,Manual,Second Owner,5,23.2,1248,73.94,2650
2017,72000,Diesel,Individual,Manual,First Owner,7,13.93,2179,138.03,6250
2008,127000,Diesel,Individual,Manual,Second Owner,5,16.8,1493,110,2450
2014,120000,Diesel,Individual,Manual,First Owner,5,25.2,1248,74,3950
2014,100000,Diesel,Individual,Manual,First Owner,5,24.4,1120,71,4900
2018,40000,Diesel,Individual,Manual,First Owner,7,24.52,1248,88.5,9550
2013,110000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,5250
2017,30000,Petrol,Individual,Manual,First Owner,5,20.3,1199,84,5500
2014,120000,Diesel,Individual,Manual,Second Owner,5,19.1,1405,70,2000
2017,15000,Petrol,Individual,Manual,First Owner,5,18.16,1196,86.8,5000
2016,33500,Diesel,Individual,Manual,First Owner,5,23.65,1248,88.5,8250
2012,70000,Diesel,Individual,Manual,First Owner,7,17.21,1493,100,2500
2015,10000,Petrol,Individual,Manual,First Owner,5,18.16,1197,78.8,6000
2018,22053,Diesel,Individual,Manual,First Owner,7,16.36,2179,120,13250
2016,50000,Diesel,Individual,Manual,First Owner,7,18.49,1493,100,7700
2011,78432,Diesel,Individual,Manual,First Owner,5,16.52,1991,123.7,4150
2011,125000,Diesel,Individual,Manual,Second Owner,7,14.66,2199,194.3,8250
2018,80000,Diesel,Individual,Manual,First Owner,5,26.1,1498,99.23,5300
2006,270000,Diesel,Individual,Manual,Third Owner,8,12.8,2494,102,4250
2012,50000,Petrol,Individual,Manual,Second Owner,5,19.4,1198,86.8,3100
2017,20000,Petrol,Individual,Manual,First Owner,5,23.84,1199,84,3900
2016,30000,Petrol,Individual,Manual,First Owner,5,15.29,1591,121.3,7000
2010,70000,Petrol,Individual,Manual,Second Owner,5,19.81,1086,68.05,2000
2013,7200,Diesel,Individual,Manual,First Owner,8,12.99,2494,100.6,10500
2014,97000,Diesel,Individual,Manual,First Owner,5,26,1498,98.6,5800
2014,60000,Petrol,Individual,Manual,Second Owner,5,21.1,814,55.2,2000
2013,25000,Petrol,Individual,Manual,First Owner,5,18.2,1199,84.8,2450
2010,94000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,2100
2005,90000,Petrol,Individual,Manual,Second Owner,5,15.4,1590,94,500
2012,50000,Diesel,Individual,Automatic,Second Owner,7,12.12,2231,184,7000
2019,35000,Diesel,Individual,Manual,First Owner,5,22.95,1248,74,6600
2015,117500,Petrol,Individual,Manual,Second Owner,5,17.4,1497,117.3,6300
2012,78500,Diesel,Individual,Manual,First Owner,7,15.1,2179,140,9500
2018,8000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,7400
2017,25000,Petrol,Individual,Manual,First Owner,5,18.12,1196,86.8,5700
2012,60000,Diesel,Individual,Manual,Third Owner,5,22.32,1582,126.32,4500
2019,10000,Petrol,Individual,Manual,First Owner,5,22.5,999,67,3900
2009,70000,Petrol,Individual,Manual,Second Owner,5,14.2,1597,92,1800
2015,60000,Petrol,Individual,Manual,First Owner,4,25.4,624,37.48,1300
2006,70000,Petrol,Individual,Manual,Second Owner,5,17.7,1497,78,2700
1997,25000,Petrol,Individual,Manual,Third Owner,4,16.1,796,37,600
2006,90000,Petrol,Individual,Manual,Third Owner,5,13.9,1599,103.2,1700
2015,90000,Diesel,Individual,Manual,First Owner,5,19.67,1582,126.2,9789.99
2018,25000,Petrol,Individual,Manual,First Owner,5,23.84,1199,84,4900
2012,60000,Diesel,Individual,Manual,Second Owner,5,23.5,1498,88.7,2800
2018,25000,Petrol,Individual,Manual,First Owner,5,23.84,1199,84,3900
2013,60000,Petrol,Individual,Manual,Fourth & Above Owner,5,22.74,796,47.3,1700
2008,70000,Petrol,Individual,Manual,First Owner,5,18,995,62,450
2016,80000,Diesel,Individual,Manual,Second Owner,7,24.52,1248,88.5,6400
2015,110000,Diesel,Individual,Manual,Second Owner,9,15.4,2523,75,6500
2013,115717,Diesel,Individual,Manual,First Owner,9,12.05,2179,120,5000
2008,110000,Diesel,Individual,Manual,Second Owner,5,17.7,1399,68,900
2014,70000,Diesel,Individual,Manual,Second Owner,7,15.05,2179,147.9,4800
2019,4000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,6300
2011,50000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,2500
2016,70000,Petrol,Individual,Manual,Fourth & Above Owner,5,18.9,1197,82,3300
2009,70000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,1800
2010,50000,Petrol,Individual,Manual,Second Owner,5,18.5,1197,80,2100
2016,55000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,5500
2020,5000,Petrol,Individual,Automatic,First Owner,5,17,1198,108.5,9500
2013,100000,Diesel,Individual,Manual,Second Owner,7,15.96,2523,62.1,4300
2014,23000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,3480
2014,60000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,1960
2010,70000,Petrol,Individual,Manual,Second Owner,5,18.9,1061,67,1500
2009,60000,Petrol,Individual,Manual,Second Owner,5,18.9,1061,67,1500
2019,100000,Diesel,Individual,Manual,First Owner,7,14.1,2179,153.86,12500
2015,90000,Diesel,Individual,Manual,Third Owner,7,20.77,1248,88.76,6000
2010,26432,Petrol,Dealer,Manual,First Owner,4,25.4,624,37.48,650
2016,46702,Petrol,Dealer,Manual,First Owner,8,16.8,796,34.2,2200
2016,46706,Petrol,Dealer,Manual,First Owner,8,16.8,796,34.2,2200
2006,53523,Petrol,Dealer,Manual,First Owner,5,16.84,1193,64.4,1100
2012,56365,Diesel,Dealer,Manual,First Owner,5,25.44,936,56.3,1750
2011,49563,Petrol,Dealer,Manual,First Owner,5,16.2,995,62.1,1600
2004,56432,Petrol,Dealer,Manual,First Owner,4,16.1,796,37,650
2002,52365,Petrol,Dealer,Manual,Second Owner,4,16.1,796,37,600
2007,53512,Petrol,Dealer,Manual,Second Owner,5,19.7,796,46.3,1200
2013,40000,Diesel,Individual,Automatic,First Owner,7,11.18,2696,184,10000
2010,46533,Petrol,Dealer,Manual,First Owner,5,18.9,998,67.1,2200
2008,58632,Petrol,Dealer,Manual,Second Owner,5,14,796,35,1149.99
2016,80000,Diesel,Individual,Automatic,Second Owner,7,16,2179,140,8500
2016,70000,Diesel,Individual,Manual,First Owner,7,24.52,1248,88.5,7500
2017,90000,Petrol,Individual,Manual,First Owner,5,23.01,999,67,2650
2014,110000,Petrol,Individual,Manual,Second Owner,5,14.09,1596,99.6,4500
2013,90000,Diesel,Individual,Manual,First Owner,7,17.21,1493,100,2250
2015,70000,Diesel,Individual,Manual,First Owner,7,15.4,2179,120,11250
2009,80000,Petrol,Individual,Manual,First Owner,5,16.6,1197,85,2700
2007,78000,Petrol,Individual,Manual,First Owner,5,19.7,796,46.3,1300
2017,45000,Diesel,Individual,Manual,First Owner,7,16.5,1493,70,6600
2015,50000,Petrol,Individual,Manual,Second Owner,5,23.95,998,67.05,2400
2017,58000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,2750
2012,120000,Diesel,Individual,Manual,First Owner,8,12.8,2494,102,7500
2007,30000,Petrol,Individual,Manual,Second Owner,5,14.7,1150,76,650
2017,162000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,8500
2018,25000,Petrol,Individual,Manual,Second Owner,5,18.6,1197,81.83,5550
2015,60000,Diesel,Individual,Manual,First Owner,7,15.4,1997,120,8250
2009,138000,Diesel,Individual,Manual,Second Owner,5,19.3,1248,73.9,1850
2010,70000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,1800
2010,48000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,1600
2012,110000,Diesel,Individual,Automatic,First Owner,7,11.4,2953,153.86,5000
2014,88000,Diesel,Individual,Manual,Second Owner,5,25.2,1248,74,3750
2015,68000,Diesel,Individual,Manual,First Owner,7,12.99,2494,100.6,9000
2017,70000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4599.99
2014,80000,Diesel,Individual,Manual,First Owner,5,20.45,1461,83.8,4800
2013,100000,Diesel,Individual,Manual,Third Owner,5,22.9,1248,74,3200
2013,96000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74,3700
2002,30000,Petrol,Individual,Manual,Third Owner,5,17.3,993,60,750
2016,60000,Diesel,Individual,Manual,Third Owner,5,23.2,1248,73.94,4000
2014,65000,Diesel,Individual,Manual,First Owner,5,25.2,1248,74,4250
2014,48000,Petrol,Individual,Manual,First Owner,5,23.1,998,67.04,3250
2016,65300,Petrol,Individual,Manual,Second Owner,5,18.9,1197,82,3500
2018,40000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,6000
2012,60000,Diesel,Individual,Manual,Second Owner,5,25.44,936,57.6,1200
2012,70000,Petrol,Individual,Manual,Second Owner,5,20.92,998,67.1,2000
2008,70000,Petrol,Individual,Manual,Third Owner,5,19.7,796,46.3,1000
2014,70000,Diesel,Individual,Manual,Second Owner,5,24,1120,70,3500
2006,150000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,850
2019,10000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,3990
2014,56000,Diesel,Individual,Manual,First Owner,5,22.32,1582,126.3,5800
2017,30000,Petrol,Individual,Manual,First Owner,5,22.7,799,53.64,2900
2014,50000,Petrol,Individual,Manual,Second Owner,5,18.9,1197,82,3800
2010,120000,Diesel,Individual,Manual,First Owner,5,20,1399,68,2000
2017,27500,Petrol,Individual,Manual,First Owner,5,18.9,1197,81.86,5000
2012,73000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,5200
2017,75000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,6500
2018,5000,Petrol,Individual,Manual,First Owner,5,23.01,999,67,3800
2015,70000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,5200
2015,60000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,6100
2004,110000,Petrol,Individual,Manual,First Owner,5,18.9,998,67.1,850
2013,95000,Diesel,Individual,Manual,First Owner,5,20.46,1461,83.8,4900
2015,34000,Petrol,Individual,Manual,Second Owner,5,21.1,814,55.2,2299.99
2015,25000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4110
2014,31000,Diesel,Individual,Manual,First Owner,5,23.59,1364,67.06,5500
2011,47000,Petrol,Individual,Manual,First Owner,5,18.5,1197,85.8,1900
2019,5000,Petrol,Individual,Automatic,First Owner,5,20.3,1086,68,4990
2018,44000,Petrol,Individual,Manual,First Owner,7,15.37,1196,73,3580
2012,120000,Diesel,Individual,Manual,Second Owner,5,23.59,1364,67.1,2780
2014,39395,Diesel,Individual,Manual,First Owner,5,21.2,1248,75,3200
2013,67000,Diesel,Individual,Manual,Second Owner,5,20.4,1461,108.5,5800
2019,20000,Petrol,Individual,Automatic,First Owner,5,17.4,1497,117.6,13000
2018,40000,Diesel,Individual,Manual,First Owner,5,25.8,1498,98.6,8250
2004,120000,Petrol,Individual,Manual,Second Owner,5,13.4,1794,125,1700
2014,80000,Diesel,Individual,Manual,Second Owner,7,12.55,2982,168.5,17000
2018,7000,Petrol,Individual,Manual,First Owner,5,20.3,1086,68,4900
2018,15000,Diesel,Individual,Manual,First Owner,7,16,2179,140,10500
2016,50000,Petrol,Individual,Manual,First Owner,5,18.6,1199,76.8,2100
2016,30000,Diesel,Individual,Manual,First Owner,7,15.4,2179,120,12500
2012,120000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74,3200
2012,64000,Diesel,Individual,Manual,First Owner,5,16.52,1991,123.7,4000
2013,120000,Diesel,Individual,Manual,First Owner,5,23.2,1248,73.94,3200
2012,85000,Diesel,Individual,Manual,First Owner,5,21.43,1364,87.2,6000
2012,50000,Petrol,Individual,Manual,First Owner,5,20.92,998,67.1,2750
2009,59000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,1700
2012,98000,Diesel,Individual,Manual,First Owner,5,25.44,936,57.6,1550
2015,140000,Diesel,Individual,Manual,Second Owner,5,20.45,1461,83.8,6200
2017,50000,Petrol,Individual,Manual,First Owner,5,18.9,1197,81.86,5300
2015,40000,Diesel,Individual,Manual,First Owner,5,23.59,1364,67.04,5500
2014,90000,Diesel,Individual,Manual,First Owner,5,26,1498,98.6,6000
2014,117000,Diesel,Individual,Manual,Third Owner,7,15.1,2179,140,6490
2014,90000,Diesel,Individual,Manual,First Owner,5,26,1498,98.6,6250
2010,70000,Petrol,Individual,Manual,First Owner,5,16,995,63,1250
2009,230000,Diesel,Individual,Manual,Second Owner,9,13.58,2499,72.4,3050
2010,155000,Petrol,Individual,Manual,Second Owner,5,15.5,1586,103.3,2850
2015,60000,Diesel,Individual,Manual,Second Owner,5,13.49,2179,138.03,6000
2016,110000,Petrol,Individual,Manual,First Owner,6,18.15,1198,82,4260
2010,120000,Diesel,Individual,Manual,First Owner,5,17,1405,71,1800
2011,100000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.32,4000
2010,40000,Petrol,Individual,Manual,Second Owner,5,18.6,1199,79.4,1200
2012,110000,Diesel,Individual,Manual,Second Owner,5,21.12,1248,88.8,3000
2011,92500,Petrol,Individual,Manual,Second Owner,5,20.92,998,67.1,1900
2017,20000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,3100
2019,15000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,3800
2019,14000,Diesel,Individual,Manual,First Owner,7,16.5,1493,70,7400
2016,35000,Petrol,Individual,Manual,First Owner,5,22.7,799,53.64,2600
2017,32000,Petrol,Individual,Manual,Second Owner,5,23.95,998,67.05,3200
2018,35000,Petrol,Individual,Manual,First Owner,5,22,1197,81.8,6500
2017,32500,Diesel,Individual,Manual,Second Owner,5,28.4,1248,74.02,6510
2019,14000,Petrol,Individual,Automatic,First Owner,5,23.95,998,67.05,3800
2014,70000,Diesel,Individual,Manual,Third Owner,5,25.44,936,56.3,1600
2019,20000,Petrol,Individual,Automatic,First Owner,5,17,1591,121.3,12700
2015,100000,Diesel,Individual,Manual,First Owner,5,25.2,1248,74,4050
2015,64800,Diesel,Individual,Manual,First Owner,7,15.1,2179,140,8500
2017,90000,Diesel,Individual,Manual,First Owner,7,16.5,1493,70,6800
2014,80000,Petrol,Individual,Manual,First Owner,5,19.1,1197,82,4269.99
2015,248000,Diesel,Individual,Manual,First Owner,5,24.8,1396,88.7,5250
2014,60000,Diesel,Individual,Manual,Second Owner,7,12.99,2494,100.6,10199.99
2005,120000,Diesel,Individual,Manual,First Owner,8,12.8,2494,102,2450
2015,120000,Diesel,Individual,Manual,First Owner,5,22.7,1582,126.2,8699.99
2016,86000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,7000
2012,90000,Diesel,Individual,Manual,First Owner,5,21.64,1461,84.8,3000
2007,218463,Petrol,Individual,Automatic,First Owner,5,12.9,1799,130,1750
2012,153000,Diesel,Individual,Manual,First Owner,8,12.8,2494,102,9600
2014,70000,Diesel,Individual,Manual,Second Owner,6,16.55,2498,105,5250
2015,60000,Diesel,Individual,Manual,First Owner,5,24,1120,70,3450
2015,50000,Petrol,Individual,Manual,First Owner,5,18,1198,86.7,3900
2015,20000,Petrol,Individual,Manual,First Owner,5,20.63,1198,67,2750
2014,35000,Petrol,Individual,Manual,First Owner,5,18.2,1199,82.4,3100
2017,20000,Petrol,Individual,Manual,First Owner,5,18.9,1197,81.86,5000
2013,70000,Diesel,Individual,Manual,First Owner,5,22.1,1248,76.9,2000
2018,53000,Diesel,Individual,Manual,First Owner,5,20.14,1498,88,6500
2018,60000,Diesel,Individual,Manual,First Owner,5,25.6,1498,97.9,10310
2018,70000,Petrol,Individual,Manual,First Owner,5,20.3,998,68.05,3300
2019,4000,Petrol,Individual,Manual,First Owner,5,20.3,1086,68,3990
2012,103000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,2500
2017,20000,Diesel,Individual,Manual,First Owner,5,24,1186,73.97,6000
2013,77000,Diesel,Individual,Manual,First Owner,5,22.9,1248,74,3750
2012,90000,Diesel,Individual,Manual,First Owner,5,20.54,1598,103.6,3750
2013,87185,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.3,4450
2003,167000,Petrol,Individual,Manual,Second Owner,5,18.9,998,67.1,550
2016,77000,Diesel,Individual,Manual,First Owner,5,22.54,1396,88.73,6110
2014,110000,Diesel,Individual,Manual,Second Owner,5,24.8,1396,88.7,4599.99
2011,120000,Diesel,Individual,Manual,Second Owner,5,17.8,1399,68,2750
2012,100000,Diesel,Individual,Manual,Second Owner,5,22.32,1582,126.32,3900
2007,40000,Petrol,Individual,Manual,Second Owner,5,18,995,62,720
2007,50000,Diesel,Individual,Manual,First Owner,5,17.88,1396,52.8,900
2015,125000,Diesel,Individual,Manual,First Owner,5,23.59,1364,67.05,5000
2019,18000,Diesel,Individual,Manual,First Owner,7,15.1,2179,152.87,15750
2015,30000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,5110
2009,55000,Petrol,Individual,Manual,First Owner,5,14.6,1368,88.7,1500
2020,40000,Petrol,Individual,Automatic,First Owner,8,10.75,2694,163.7,15000
2013,80000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,1850
2018,30000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,5500
2017,3564,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,3250
2015,80000,Diesel,Individual,Manual,First Owner,5,26.59,1248,74,5250
2018,13000,Diesel,Individual,Manual,First Owner,7,17,2200,139.01,10500
2012,120000,Diesel,Individual,Manual,First Owner,5,25,1396,69,3000
2011,90000,Petrol,Individual,Manual,First Owner,5,18.6,1199,79.4,1200
2017,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177,26250
2019,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,51500
2017,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177,32000
2015,110000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,5030
2019,20000,Diesel,Individual,Automatic,First Owner,5,18,1969,190,38000
2016,68089,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,20000
2013,58343,Petrol,Dealer,Manual,First Owner,5,21.79,998,67.05,2250
2018,38817,Diesel,Dealer,Manual,First Owner,5,27.39,1248,74,7400
2016,56494,Petrol,Dealer,Manual,First Owner,5,18.2,1199,88.7,5500
2013,79328,Diesel,Dealer,Manual,Second Owner,7,12.99,2494,100.6,7500
2019,5621,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6500
2017,25538,Petrol,Dealer,Manual,First Owner,5,16.78,1496,88.73,6250
2018,69779,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6000
2017,56290,Diesel,Dealer,Manual,First Owner,5,24,1186,73.97,4500
2019,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,54000
2019,8500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,55000
2019,7032,Petrol,Dealer,Automatic,First Owner,5,19,1199,88.76,7790
2016,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,6450
2018,2000,Diesel,Dealer,Automatic,First Owner,5,16.8,1984,150,24750
2011,50000,Petrol,Individual,Manual,Third Owner,5,17.92,1086,62.1,1700
2010,42000,Diesel,Individual,Manual,First Owner,5,23.03,1396,69,3200
2016,17000,Petrol,Individual,Automatic,First Owner,5,23.1,998,67.04,3500
2018,40000,Petrol,Individual,Automatic,First Owner,5,22,1197,81.8,5000
2009,137000,Diesel,Individual,Manual,Second Owner,5,17,1405,70,1350
2018,20000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,3400
2020,70000,Petrol,Individual,Manual,Second Owner,5,18.9,1197,81.86,3300
2011,48756,Petrol,Individual,Manual,Second Owner,5,15.5,1586,103.3,3500
2015,30000,Diesel,Individual,Automatic,Second Owner,7,12.55,2982,168.5,18500
2016,110000,Diesel,Individual,Manual,First Owner,5,24.4,1120,71,4000
2014,80322,Diesel,Dealer,Manual,First Owner,5,17.8,1399,67,3250
2015,35000,Diesel,Individual,Manual,First Owner,7,15.4,1997,120,10000
2017,110000,Diesel,Individual,Manual,First Owner,7,15.4,2523,75,8500
2012,70000,Diesel,Individual,Manual,Second Owner,5,21.5,1248,88.8,3500
2017,9000,Diesel,Dealer,Automatic,First Owner,5,13.6,1999,177,26250
2019,20000,Petrol,Dealer,Automatic,First Owner,5,22.37,2487,214.56,51500
2017,45000,Diesel,Dealer,Automatic,First Owner,5,19.33,1999,177,32000
2015,110000,Diesel,Individual,Manual,First Owner,7,14.1,2179,147.94,5030
2019,20000,Diesel,Individual,Automatic,First Owner,5,18,1969,190,38000
2016,68089,Petrol,Dealer,Automatic,First Owner,5,19.16,2494,157.7,20000
2013,58343,Petrol,Dealer,Manual,First Owner,5,21.79,998,67.05,2250
2018,38817,Diesel,Dealer,Manual,First Owner,5,27.39,1248,74,7400
2016,56494,Petrol,Dealer,Manual,First Owner,5,18.2,1199,88.7,5500
2013,79328,Diesel,Dealer,Manual,Second Owner,7,12.99,2494,100.6,7500
2019,5621,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6500
2017,25538,Petrol,Dealer,Manual,First Owner,5,16.78,1496,88.73,6250
2018,69779,Petrol,Dealer,Automatic,First Owner,5,22,1197,81.8,6000
2017,56290,Diesel,Dealer,Manual,First Owner,5,24,1186,73.97,4500
2019,7500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,54000
2019,8500,Diesel,Dealer,Automatic,First Owner,5,16.78,1995,190,55000
2019,7032,Petrol,Dealer,Automatic,First Owner,5,19,1199,88.76,7790
2016,11000,Petrol,Dealer,Automatic,First Owner,5,14.3,1598,103.5,6450
2018,2000,Diesel,Dealer,Automatic,First Owner,5,16.8,1984,150,24750
2015,120000,Diesel,Individual,Manual,Second Owner,7,24.5,1498,98.6,5500
2015,60000,Diesel,Individual,Manual,First Owner,7,14,2179,138.1,9250
2010,97000,Diesel,Individual,Automatic,Second Owner,8,11.79,2179,120,5099.99
2011,100000,Diesel,Individual,Manual,Second Owner,8,13,2489,95,2500
2015,36000,Petrol,Individual,Manual,First Owner,5,17.19,1197,81.86,5000
2019,27000,Diesel,Individual,Manual,First Owner,5,21.38,1396,88.7,10500
2014,50000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74,4900
2020,15000,Petrol,Individual,Manual,First Owner,5,15.37,1196,73,4150
2013,60000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,1900
2018,120000,Diesel,Individual,Manual,First Owner,5,28.4,1248,74.02,6800
2013,60000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,1900
2013,173000,Diesel,Individual,Manual,First Owner,7,12.05,2179,120,4790
2016,60000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,2700
2008,70000,Petrol,Individual,Manual,Third Owner,5,19.81,1086,68.05,1700
2018,25000,Petrol,Individual,Manual,First Owner,5,20.73,1373,91.1,7640
2019,30000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,7100
2017,35000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,3100
2017,100000,Diesel,Individual,Manual,Second Owner,7,16.5,1493,70,6200
2017,31000,Petrol,Individual,Manual,Second Owner,5,21.1,814,55.2,2800
2015,80000,Diesel,Individual,Automatic,Second Owner,7,12.55,2982,168.5,15000
2016,40000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82,4500
2017,10000,Diesel,Individual,Automatic,Second Owner,5,17.9,2143,136,21990
